PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23
Par,Bear Branch Sportsfield Park,Main,2022-08-11 17:57,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-08-11 17:57,63,9,3,4,3,2,4,3,4,3,4,2,4,5,6,2,4,2,5,3,,,,,
Henning,Bear Branch Sportsfield Park,Main,2022-08-11 17:57,51,-3,2,3,4,3,3,3,2,2,2,4,3,4,3,3,2,2,3,3,,,,,
Alex,Bear Branch Sportsfield Park,Main,2022-08-11 17:57,61,7,3,4,4,3,4,4,3,3,4,2,4,4,3,3,3,3,3,4,,,,,
Killamon Daru,Bear Branch Sportsfield Park,Main,2022-08-11 17:57,57,3,2,3,4,3,4,3,3,3,3,3,4,3,5,4,2,3,1,4,,,,,
Joel,Bear Branch Sportsfield Park,Main,2022-08-11 17:57,72,18,4,4,4,5,4,4,3,3,3,5,3,5,5,4,4,4,4,4,,,,,
Par,T.C. Jester Park,Full 21 - White Tees,2022-08-09 18:04,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Cody,T.C. Jester Park,Full 21 - White Tees,2022-08-09 18:04,66,3,3,4,2,3,2,3,5,3,2,3,3,4,3,4,4,2,3,3,4,3,3,,
Henning,T.C. Jester Park,Full 21 - White Tees,2022-08-09 18:04,65,2,3,3,3,3,4,3,3,3,3,3,3,3,5,3,4,2,3,2,3,3,3,,
Alex,T.C. Jester Park,Full 21 - White Tees,2022-08-09 18:04,68,5,3,4,4,3,3,3,4,3,2,3,3,4,4,3,2,3,4,4,3,3,3,,
Par,T.C. Jester Park,Full 21 - White Tees,2022-07-30 07:17,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Cody,T.C. Jester Park,Full 21 - White Tees,2022-07-30 07:17,65,2,3,3,3,3,2,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,,
Henning,T.C. Jester Park,Full 21 - White Tees,2022-07-30 07:17,65,2,3,4,3,3,2,3,4,3,3,2,4,4,4,3,3,3,3,3,3,2,3,,
Alex,T.C. Jester Park,Full 21 - White Tees,2022-07-30 07:17,68,5,4,3,3,3,5,3,4,4,2,3,3,3,3,3,3,3,3,4,3,3,3,,
Par,Bear Branch Sportsfield Park,Main,2022-07-26 16:57,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-07-26 16:57,54,0,2,3,3,2,4,3,3,2,2,3,3,3,4,3,4,3,3,4,,,,,
Henning,Bear Branch Sportsfield Park,Main,2022-07-26 16:57,56,2,3,5,3,2,4,4,3,2,3,3,3,2,4,3,4,2,3,3,,,,,
DDrewjr,Bear Branch Sportsfield Park,Main,2022-07-26 16:57,62,8,3,2,3,4,5,3,3,3,4,3,4,3,4,3,4,4,4,3,,,,,
Alicia,Bear Branch Sportsfield Park,Main,2022-07-26 16:57,80,26,5,5,4,4,6,4,4,3,5,4,6,4,5,4,4,5,4,4,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-07-22 17:05,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-07-22 17:05,62,8,3,3,3,3,4,3,3,2,3,2,5,4,7,4,3,3,4,3,,,,,
Henning,Bear Branch Sportsfield Park,Main,2022-07-22 17:05,53,-1,3,4,2,3,2,3,3,3,2,3,4,3,3,3,4,2,3,3,,,,,
BurtRuckus,Bear Branch Sportsfield Park,Main,2022-07-22 17:05,65,11,5,4,3,3,3,5,3,3,3,3,5,4,4,3,3,3,4,4,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-07-21 17:24,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
